,,,,,,,,,,,,,,,,,,,,,
,Brief CBT for,,"Individuals with suicidal
ideation and/or a recent
history of suicide attempts",,,Mental Health,,,"20
hours",,,,8,,,,11,,,,".70% of individuals
with a mental health
need"
,Suicidal,,,,,,,,,,,,,,,,,,,,
,Individuals,,,,,,,,,,,,,,,,,,,,
,Program (PA),,,,,,,,,,,,,,,,,,,,
,CBT for Eating,,"Individuals with diagnosed
eating disorders",Mental Health,"20
hours",0,0,,0.00% of individuals,,,,,,,,,,,,
,Disorders,,,,,,,,with a mental health,,,,,,,,,,,,
,Program (PA),,,,,,,,need,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,CBT for,,"Individuals with sleep
disturbances",Mental Health,"10
hours",8,16,,3.54% of individuals,,,,,,,,,,,,
,Insomnia,,,,,,,,with a mental health,,,,,,,,,,,,
,Program (PA),,,,,,,,need,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,CBT for Prison,,"Individuals with problem
gambling in the institution","Cognitions,
Antisocial Peers","20
hours",28,99,"4.30% of individuals
with a cognitions
need",4.30% of individuals,,,,,,,,,,,,
,Gambling,,,,,,,,with a cognitions,,,,,,,,,,,,
,Program (PA),,,,,,,,need,,,,,,,,,,,,
"Start Now
Program (PA)",Start Now,,"Individuals with behavioral
disorders","Anger/Hostility,
Cognitions","32
hours",29,842,,4.51% of individuals,,,,,,,,,,,,
,Program (PA),,,,,,,,with a cognitions,,,,,,,,,,,,
,,,,,,,,,need,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"To create our study database, we first examined all published meta-analyses and systematic",,,,,,,,,,,,,,,,,,,,,
reviews of prison-based CBT programs for mental and behavioral disorders published during our,,,,,,,,,,,,,,,,,,,,,
review period (2000-present). Fourteen meta-analyses and systematic reviews were identified,,,,,,,,,,,,,,,,,,,,,
"(see Appendix Table 7A for an overview). As noted in Chapter 1, a strong argument can be made",,,,,,,,,,,,,,,,,,,,,
evaluations of prison-based CBT programs operating in the 1990’s and earlier are not relevant,,,,,,,,,,,,,,,,,,,,,
"today, because of changes over time in program design components and incarcerated",,,,,,,,,,,,,,,,,,,,,
"populations. In fact, many of the programs addressed in this chapter were developed in the",,,,,,,,,,,,,,,,,,,,,
2000’s and later. Our review of these meta-analyses and systematic reviews did reveal several,,,,,,,,,,,,,,,,,,,,,
studies conducted since 2000; we included these studies in our review.,,,,,,,,,,,,,,,,,,,,,
The next step in our study identification process was to determine whether these meta-analyses,,,,,,,,,,,,,,,,,,,,,
and systematic reviews perhaps missed relevant evaluations due to the search procedures,,,,,,,,,,,,,,,,,,,,,
employed; or excluded them from their review due to their study inclusion criteria. To address,,,,,,,,,,,,,,,,,,,,,
"this issue, we conducted a systematic search of the following electronic databases:",,,,,,,,,,,,,,,,,,,,,
We used the following specific terms for our systematic search of electronic databases:,,,,,,,,,,,,,,,,,,,,,
cognitive behavioral therapy AND prison or jail or incarceration or imprisonment or correction,,,,,,,,,,,,,,,,,,,,,
facilities NOT youths or young people or adolescents or teenagers,,,,,,,,,,,,,,,,,,,,,
"In addition, we decided to conduct a separate search, in the same series of databases, for anger",,,,,,,,,,,,,,,,,,,,,
management program evaluations. The following search terms were used in this second search:,,,,,,,,,,,,,,,,,,,,,
anger management AND prison or jail or incarceration or imprisonment or correction,,,,,,,,,,,,,,,,,,,,,
facilities NOT youths or young people or adolescents or teenagers AND recidivism or,,,,,,,,,,,,,,,,,,,,,
reoffending or repeat offender.,,,,,,,,,,,,,,,,,,,,,
"This search initially yielded 335 hits, with a list of 17 studies once duplicates were removed from",,,,,,,,,,,,,,,,,,,,,
the database. Visual inspection of the titles and abstracts by the research team further reduced,,,,,,,,,,,,,,,,,,,,,
the number of potential studies to 7 titles meeting our initial review criteria and requiring in-,,,,,,,,,,,,,,,,,,,,,
"depth review. In addition, one meta-analysis of 96 anger management programs utilizing 9",,,,,,,,,,,,,,,,,,,,,
"distinct program models (Saini, 2009) was also identified at this stage and reviewed (see",,,,,,,,,,,,,,,,,,,,,
Appendix Table 7A); only 4 of the 12 corrections studies included in this review were conducted,,,,,,,,,,,,,,,,,,,,,
post-2000. This secondary search added 3 previously unidentified studies to our database.,,,,,,,,,,,,,,,,,,,,,
Flowchart of Study Identification Procedures,,,,,,,,,,,,,,,,,,,,,
"Records identified through two
n o database searches (n = 1,215)
ita
c
ifitn
e d Additional records identified in BOP
I reports (n = 1)
Records after duplicates removed
(n = 611)
g
n
in
e
e
rc
S
Records screened (n = 611) Records excluded (n = 494)
y Full-text articles excluded (n = 74)
tilib Full-te ex lit ia br it li ic tyle (s a =s s 1e 1s 7s )ed for
ig g n Reasons: lack of comparision group,
ilE lack of outcome measures
d
e
d u Studies included in review (n = 43)
lc
n
I",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The Effectiveness of Prison-Based CBT Mental/Behavioral Disorder Programs,,,,,,,,,,,,,,,,,,,,
,Summary of Program Rankings,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BOP Program,,,"Status of
BOP
Evaluations","Evidence
Rating: BOP
Program
Evaluations","Evidence
Rating:
Outside
Evaluations -
Intermediate
Outcomes",,,"Evidence
Rating:
Outside
Evaluations -
Post-Release
Outcomes","Comparability
Assessment",,,,,,,,,,,,
"BRAVE Program
(EBRR)",,,"Ongoing
Evaluation
Anticipated
Completion FY
2026","Promising for
misconduct
reduction",,Promising for,,Unknown,Comparable,,,,,,,,,,,,
,,,,,,misconduct,,,,,,,,,,,,,,,
,,,,,,"reduction,",,,,,,,,,,,,,,,
,,,,,,improved,,,,,,,,,,,,,,,
,,,,,,institutional,,,,,,,,,,,,,,,
,,,,,,adjustment,,,,,,,,,,,,,,,
"Challenge
Program (EBRR)",,,"Evaluation
Planned for FY
2023",Unknown,,Promising for,,Unknown,Comparable,,,,,,,,,,,,
,,,,,,misconduct,,,,,,,,,,,,,,,
,,,,,,"reduction,",,,,,,,,,,,,,,,
,,,,,,improved,,,,,,,,,,,,,,,
,,,,,,institutional,,,,,,,,,,,,,,,
,,,,,,adjustment,,,,,,,,,,,,,,,
"Anger
Management
Program (EBRR)",,,"Ongoing
Evaluation
Anticipated
Completion FY
2024",Unknown,,Promising for,,Unknown,"Somewhat
Comparable",,,,,,,,,,,,
,,,,,,misconduct,,,,,,,,,,,,,,,
,,,,,,"reduction,",,,,,,,,,,,,,,,
,,,,,,institutional,,,,,,,,,,,,,,,
,,,,,,"adjustment, and",,,,,,,,,,,,,,,
,,,,,,symptom,,,,,,,,,,,,,,,
,,,,,,reduction,,,,,,,,,,,,,,,
,Basic Cognitive,,"Evaluation
Planned for FY
2023",Unknown,"Effective for
symptom
reduction",Effective for,,Unknown,"Somewhat
Comparable",,,,,,,,,,,,
,Skills Program,,,,,symptom,,,,,,,,,,,,,,,
,(EBRR),,,,,reduction,,,,,,,,,,,,,,,
"Criminal
Thinking
Program (EBRR)",Criminal,,"Ongoing
Evaluation
Anticipated
Completion FY
2028",Unknown,,Effective for,,Unknown,Comparable,,,,,,,,,,,,
,Thinking,,,,,misconduct,,,,,,,,,,,,,,,
,Program (EBRR),,,,,"reduction,",,,,,,,,,,,,,,,
,,,,,,improved,,,,,,,,,,,,,,,
,,,,,,institutional,,,,,,,,,,,,,,,
,,,,,,adjustment,,,,,,,,,,,,,,,
,Emotional Self-,,"Evaluation
Planned for FY
2026",,,Unknown,"Effective for
symptom
reduction",Unknown,Comparable,,,,,,,,,,,,
,Regulation,,,,,,,,,,,,,,,,,,,,
,Program (EBRR),,,,,,,,,,,,,,,,,,,,
,Mindfulness-,,"No Evaluation
Planned",,,Unknown,Unknown,Unknown,N/A,,,,,,,,,,,,
,Based Cognitive,,,,,,,,,,,,,,,,,,,,
,Therapy,,,,,,,,,,,,,,,,,,,,
,Program (PA),,,,,,,,,,,,,,,,,,,,
,Circle of,,"No Evaluation
Planned",,,Unknown,Unknown,Unknown,N/A,,,,,,,,,,,,
,Strength,,,,,,,,,,,,,,,,,,,,
,Program (PA),,,,,,,,,,,,,,,,,,,,
,Brief CBT for,,"No Evaluation
Planned",,,Unknown,Unknown,Unknown,N/A,,,,,,,,,,,,
,Suicidal,,,,,,,,,,,,,,,,,,,,
,Individuals,,,,,,,,,,,,,,,,,,,,
,Program (PA),,,,,,,,,,,,,,,,,,,,
,CBT for Eating,,"No Evaluation
Planned",,,Unknown,Unknown,Unknown,N/A,,,,,,,,,,,,
,Disorders,,,,,,,,,,,,,,,,,,,,
,Program (PA),,,,,,,,,,,,,,,,,,,,
,CBT for Insomnia,,,No Evaluation,,Unknown,Unknown,Unknown,N/A,,,,,,,,,,,,
,Program (PA),,,Planned,,,,,,,,,,,,,,,,,
,CBT for Prison,,"No Evaluation
Planned",No Evaluation,,Unknown,Unknown,Unknown,N/A,,,,,,,,,,,,
,Gambling,,,Planned,,,,,,,,,,,,,,,,,
,Program (PA),,,,,,,,,,,,,,,,,,,,
,Start Now,,,No Evaluation,,Unknown,Unknown,Unknown,N/A,,,,,,,,,,,,
,Program (PA),,,Planned,,,,,,,,,,,,,,,,,
,"Table 7A: Summary of Meta-Analyses and Systematic Reviews of the Effectiveness of Prison-Based CBT
Programs for Mental and Behavioral Disorders",,,,,,,,,,,,,,,,,,,,
,Study,,Program Type,,Review,,,Review,,,Number of,,Key Findings,,,,,,,,
,(Year),,,,Period,,,Criteria,,,Studies,,,,,,,,,,
"1) Auty et al.
(2017)
Systematic
Review",,,"A full range of psycho-
educational programs
for reducing prison
violence.
Programs included
Moral Reconation
Therapy (MRT), Anger
Management, CHANGE,
Strategies for Thinking
Productively (STP), Skills
Training for Aggression
Control (STAC),
Alternatives to Violence
project, Dialectical
Behavior Therapy,
Resolve to Stop the
Violence Project (RSVP),
the Persistent Violent
Offender (PVO)
program, and
therapeutic community
(TC).","1996-2016
Note: 15
studies 2000-
2016
2 studies of
juvenile
populations
included",,,"Only evaluations
of programs
designed to
reduce violence,
with
comparison
groups, and
measures of
violence used as
outcomes",,,"21 evaluations met
review criteria.
Note: 5 RCTS and 16
quasi-experiments
17 studies of males,
2 studies of women,
2 studies with both
groups",,,"No overall effects across a variety of psycho-
educational interventions.
For the 5 RCTS: Incidents were lower in the
experimental groups, but the difference between
groups were not statistically significant.
For the 16 quasi-experiments: The results were
mixed, with 8 studies reported no differences in
outcomes for the treatment and comparison
groups, but the remaining studies did find
evidence of effectiveness for some of the outcome
measures.
Setting matters: Of the five studies that were set
in a TC, four produced statistically significant
reductions in violence in the program group
compared to the control group (Dietz, 2003; Lee &
Gilligan, 2005; Magliner, 2013; Welsh et al., 2007).",,,,,,,,
"2) Pearson et
al. (2002)
Meta-Analysis",,,"Cognitive Behavioral
Programs
Meta-analysis of studies
focused on treatment/
intervention programs in","1968-1996
No studies in
review
period.",,,"All Primary
research studies
on the
effectiveness of
behavioral and
cognitive-
behavioral",,,69 studies,,,"CBT programs found to have post-release
recidivism reduction effects.
“Results drawn from a total of 69 independent
comparisons are in line with previous findings in
support of behavioral/social learning/cognitive
behavioral treatment (as a general category).",,,,,,,,
,"prison, jail, probation, or
parole settings.",,"treatment in
reducing
recidivism for
offenders were
analyzed.",,"Cognitive-behavioral programs (as a specific
category of treatment) can reduce recidivism rates
by significant amounts. This was found to be true
for the overall collection of cognitive-behavioral
studies and also for the sub-categories social skills
development training and cognitive skills training.”
(490)
“The authors also add a word of caution and call
for more research on cognitive-behavioral
programs to provide more specific information
needed about the programming and its effects.
“The next wave of research should describe the
details of the cognitive-behavioral programs
provided to the clients, including the specifics of
the treatment models and curricula being used,
the training and credentials of the treatment staff,
how frequent the treatment sessions are,
information on supervision procedures to ensure
that the quality of the treatment provided is
maintained, and the planned and actual time in
the program for the clients.” (491)",,,,,,,,,,,,,,,,
"3) Saini (2009)
Meta-Analysis","Anger Management
A wide range of Anger
Management program
evaluations","Not identified
12 studies of
corrections
programs
included.
Only 4 of the
12
corrections
studies were
post 2000.","A wide range of
institutional and
community
settings
included.
Note: “Although
one-third of the
studies included
college or
university
settings, there
was good
representation
from",96 studies,"Anger management appear to reduce anger in
program participants, but separate sub-group
analyses of the 12 corrections programs was not
presented in this review.
“Psychological treatments are generally effective
in treating anger. The results also suggest a
considerable degree of variability in the effect
sizes of specific treatments for anger. The results
show that at least some of the variability may be
explained by the number of treatment sessions
offered to participants, the use of manuals to
guide delivery of the treatment, the use of fidelity
checks, the setting of the research, and whether
the study was published or unpublished.” (473)",,,,,,,,,,,,,,,,
,,,"community
treatment
programs,
correctional
facilities, and
general hospital
settings.” (478)",,,,,,,,,,,,,,,,,,
"4) Henwood et
al. (2015)
Meta-Analysis","CBT informed anger
management
evaluations
Target population: adult
males in prison, either
screened for anger
problems or with violent
instant offense","1990-2010
7 were prison
studies; 2
were
community
programs; 4
were
conducted in
secure
rehabilitation
centers.
5 prison
studies were
post-2000","RCT or NRCT
with a matched
control or a
waitlist control,
case control and
cohort studies.
Single case
studies and
qualitative
designs were
excluded.
All modalities of
CBT based
treatment for
anger or
violence
receiving
treatment in
prison or the
community.
Studies that
focused
exclusively on
domestic
violence abusers
or offenders
with mental
health diagnosis
were excluded",13 evaluations,"Overall positive findings reported with statistically
significant reductions in both general and violent
recidivism.
“The RR analysis found an overall risk reduction in
recidivism of 23% for general recidivism and 28%
for violent recidivism after treatment.
The overall risk reduction for treatment
completion as opposed to non-completion was of
a 42% reduction in general recidivism and 56%
in violent recidivism.” (290)
“The analyses also indicate that the less intensive
anger management seemed to be the most
effective treatment modality in reducing offending
behavior especially violent offending.” (291)",,,,,,,,,,,,,,,,
,,,"to limit
heterogeneity.",,,,,,,,,,,,,,,,,,
"5) Per et al.
(2020)
Meta-Analysis","Mindfulness-based
interventions in
incarcerated populations","1994-2019
Note: 11 of
the studies
were
conducted in
adult prisons,
post-2000","“Pre–post and
control studies
were eligible for
inclusion in the
review if (a)
mindfulness-
meditation was
the primary
intervention and
(b) the
population was
in a jail, prison,
or an inpatient
correctional
facility setting.”
(313)",22 evaluations,"Mindfulness based interventions improve mental
health in prison, but post-release impact of these
programs on recidivism is currently unknown.
“The results of this meta-analysis indicate that
MBIs may be a potentially promising intervention
for incarcerated populations for enhancing
emotional health; however, results were
inconclusive regarding criminogenic outcomes.”
(326)
“Only one study examined recidivism and results
were nonsignificant for 3-month post-release (OR
= 3.046, 95% CI = [0.618, 14.923], p = .172, ns) and
3 years post-release for arrest frequency (Hedges’
g = 0.704, 95% CI = [−0.004, 1.412], p = .051, ns).
Results were nonsignificant for individuals
arrested in the mindfulness relative to the
controlled group (OR = 2.984, 95% CI = [0.681,
13.073], p = .147, ns).” (317)",,,,,,,,,,,,,,,,
"6) Beaudry et
al. (2021)
Meta-Analysis
and Systematic
Review","Psychological
Interventions in Prisons
Note: interventions
included psychological
(e.g., CBT or
mindfulness-based
therapy) or psycho-
educational (e.g.,
vocational, or
educational
training) programs.","Cochrane
Central
Registrar of
Controlled
Trials
searched,
from
inception
through
Feb.17, 2021","Only RCTS of
psychological
interventions in
jails and prisons
that reported
post-release
recidivism were
selected.
Pilot studies and
cluster
randomized
trials included",29 RCTS,"The results from previous reviews overestimate
the impact of prison psychological programs on
post-release outcomes (i.e., recidivism).
“Publication bias and small-study effects appear to
have overestimated the reported modest effects
of such interventions, which were no longer
present when only larger studies were included in
analyses. Findings suggest that therapeutic
communities and interventions that ensure
continuity of care in community settings should be
prioritized for future research. Developing new
treatments should focus on addressing modifiable
risk factors for reoffending.” (759)
“If including all 29 RCTs, psychological
interventions were associated with reduced",,,,,,,,,,,,,,,,
,,,,,"reoffending outcomes (OR 0·72, 95% CI 0·56–
0·92). However, after excluding smaller studies
(<50 participants in the intervention group), there
was no significant reduction in recidivism (OR
0.87, 95% CI 0·68–1·11). Based on two studies,
therapeutic communities were associated with
decreased rates of recidivism (OR 0·64, 95% CI
0·46–0·91).” (759)",,,,,,,,,,,,,,,,
"7) Byrne &
Ghráda (2019)
Systematic
Review","Third Wave
Psychotherapies for
mental health difficulties
and aggression
Therapies include
Acceptance and
Commitment Therapy
(ACT), Compassion
Focused Therapy
(CFT), Metacognitive
Therapy (MCT) and
Functional Analytic
Psychotherapy (FAP)","2013-2018:
All available
studies up to
October
2018.
All studies in
our review
period.","Inclusion
criteria:
“Intervention
studies that
used ACT, CFT,
MCT or FAP with
a forensic
population. This
population
could include
adult or juvenile
offenders and
was not
restricted by
offence
category.” ( 47)
“Studies that
focused on
mental health
difficulties
including
anxiety,
depression,
psychosis,
personality
disorders and","9 evaluations
8 studies for ACT, 1
for CFT and none for
MCT or FAP.
5 studies of prison-
based programs
2 jail-based
programs
1 state hospital
setting
1 juvenile
corrections center","The research base for these four “third wave”
therapies is very limited, leading to the conclusion
that the impact of these strategies is unknown. Of
the four therapies, we have the most research (8
studies) on Acceptance and Commitment Therapy
(ACT).
“ACT shows some potential promise as a
treatment with a prisoner population, but the
general lack of methodologically sound studies
greatly limits any conclusions that can be made. At
present other treatments such as Cognitive
Behavioral Therapy (CBT) and other third wave
therapies, most notably, Dialectical Behavior
Therapy (DBT) have accrued more evidence as a
result of greater amount of research.” (45)",,,,,,,,,,,,,,,,
,,,"substance
misuse.
Interventions
that focused on
anger,
aggression and
offence focused
work were also
included.” (48)",,,,,,,,,,,,,,,,,,
"8) Ekanem &
Woods
(2022)
Systematic
Review","Non-suicidal Self-Injury
Interventions (NSSI)
among Incarcerated
Women","2000-2019
All studies in
our review
period.","“…papers were
excluded if the
terminologies
used did not
relate to the
operational
definition of
NSSI in this
study, did not
specify the
interventions
used, or
differentiate
between NSSI
intervention and
suicidal attempt
intervention.”
(224)","11 evaluations
10 studies of women
in prison; one of
women in high-
security hospital","There is insufficient research on the impact of
programs designed to address NSSI.
“Six interventions for NSSI for incarcerated women
were identified as promising in reducing the rate
of NSSI. Data did not support the effectiveness of
gender-specific interventions for incarcerated
women.” (220)
Interventions under review:
Dialectical behavioral therapy: preliminary support
in 3 studies
Cognitive Behavioral Group Treatment:
preliminary support in 2 studies
System Training for Emotional Predictability and
Problem Solving (STEPPS) : preliminary support
from one study
Staff Training and Support Programs (STSP):
preliminary support in one study
Algorithm of care: preliminary support in one
study
Psychodynamic interpersonal therapy (PIT):
preliminary support from one study",,,,,,,,,,,,,,,,
"9) Ferguson &
Wormith
(2012)","Moral Reconation
Therapy","1998-2010
Note: 25 of
33 studies","Inclusion
criteria:
experiment or
quasi-","33 evaluations,
including 5 RCTs, 3
quasi-experiments
with matching, 19","Researchers report an overall significant, but
modest effect of prison and community based
MRT programs on post-release recidivism, as
measured by re-arrest. Separate analyses for the",,,,,,,,,,,,,,,,
Meta-Analysis,,"were
conducted in
institutional
settings.","experiment,
recidivism
measured,
allowing effect
size calculation.
Studies included
for both adult
and juvenile
populations, in
both
institutional and
community
settings.","quasi-experiments
with nonequivalent
comparison groups,
and 5 studies with no
details on
comparison group.
Note: Recidivism
measured using
arrest, and longest
available follow-up
period for each of
the included studies.","subgroup of 19 studies conducted in adult prison
settings were not provided. However, the
researchers do note that the program was more
effective in institutional than community settings
(adults and juveniles combined).
Note: This review has been critiqued in a recent
review by Harrell et al. (2022).
According to the researchers: “The overall effect
size measured by the correlation across 33 studies
and 30,259 offenders was significant, indicating
that MRT had a small, but important, effect on
recidivism. In practice, the treatment effect
represents an average recidivism rate of
the MRT-treated offenders that was
approximately two-thirds the rate of the
untreated offenders.” (1091)",,,,,,,,,,,,,,,,
"10)
Landenberger
& Lipsey
(2005); see also
Lipsey &
Landenberger
(2006); and
Lipsey et al.
(2007)
Meta-Analysis","Cognitive Behavioral
Programs
Note: The treatment
under investigation was
a variant of cognitive-
behavioral therapy
representing or
substantially similar to
such recognized “brand
name” CBT programs as
Reasoning and
Rehabilitation, Moral
Reconation Therapy,
Aggression Replacement
Training, the Thinking
for a Change curriculum,
and the Cognitive
Interventions Program","1965-2005
17 studies
2000-2004","All studies –
using RCT or
quasi-
experimental
designs--
conducted
during review
period on the
use of CBT for
adults and
juveniles in both
institutional and
community
settings.",58 studies,"The researchers identified a statistically significant,
but modest overall effect of CBT programs on
post-release recidivism. The absolute difference
between experimental and control groups was .10
(30% experimental vs 40% control). Separate
analyses of adult CBT institutional programs were
not conducted.
Researchers noted: “The mean odds ratio
representing the average effect of intervention
was 1.53 (p<.001), indicating that the odds of
success (no recidivism in the post-intervention
interval of approximately 12 months) for
individuals in the treatment group were more than
one and a half times as great as those for
individuals in the control group. In relation to the
mean recidivism rate for the control groups of
about .40, this odds ratio indicates a recidivism
reduction of 25% to .30.” (7)",,,,,,,,,,,,,,,,
,"(NIC, 1996).",,,,,,,,,,,,,,,,,,,,
"11)
Thekkumkara
et al. (2022)
Systematic
Review","Psychosocial
Interventions","2000-2020
All studies in
our review
period.","All RCTS, only
prison studies,
including Pilot
RCTs with 10 or
more subjects.",21 RCTS,"“Overall, the included studies showed significant
improvement postintervention (MI, IPT, CBT,
positive psychology intervention, music therapy,
and ACT) on primary outcome measures such as
symptom severity of depression, anxiety,
substance abuse, and deliberate self-harm.
Positive effects were observed on secondary
outcome measures such as motivation, aggression,
follow-up rates, and recidivism.” (214)",,,,,,,,,,,,,,,,
"12) Wilson et
al.
(2005)
Meta-Analysis","Cognitive Behavioral
Programs
Note: 6 moral
reconation programs, 7
reasoning and
rehabilitation programs,
and 1 other CBT","1985-1999
Note: No
studies post
2000; only 12
were
prison/jail
studies.","Only studies
with a
comparison
group included.",20 evaluations,"“The evidence summarized in this article supports
the claim that cognitive-behavioral treatment
techniques are effective at reducing criminal
behaviors among convicted offenders. All of the
higher quality studies found positive effects
favoring the cognitive-behavioral treatment
program.” (198)",,,,,,,,,,,,,,,,
"13) Winicov
(2019)
Systematic
Review","Behavioral Health
Interventions for suicidal
and self-harming
individuals
Note: “Treatment
modalities widely vary
across studies and
include cognitive
behavioral therapy,
dialectical behavioral
therapy, peer
programming, staff
intervention training,
and uniquely designed
courses that incorporate
various aspects from","1990-2015
5 studies in
adult prison
or jail
settings,
post-2000","Review criteria:
Due to the small
number of
available studies
on the topic, the
final parameters
were: 1) study
participants
were either
prison or jail
(i.e. not a
maximum
security
hospital), 2)
there were
more than 8
participants, 3)
the study was",6 evaluations,"“This systematic review highlights several areas for
improvement within the research on suicide and
self-injury in prisons. Research would benefit from
more consistent outcome measures and follow-up
periods, and studies should clarify the target
behavior and make the distinction between
suicide, suicide attempts, suicidal self-injury and
non-suicidal self-injury.” (7)
“While Cognitive Behavioral Therapy (CBT)
interventions and uniquely tailored intervention
programs suggest promising results, the general
absence of comparison groups, the
shortage of relevant evaluation studies and the
inconsistency of behavioral outcome
measurements compromise the capacity of this
review.” (1)",,,,,,,,,,,,,,,,
,"other treatment
modalities.” (1)",,"conducted after
1990, 4) there
was support of
the intervention
effectiveness
rather than a
summary, and
5) the article
was
published in a
peer-reviewed
journal. Studies
were not limited
by country or by
gender or age of
the participant.",,,,,,,,,,,,,,,,,,
"14) Yoon et al.
(2017)
Meta-Analysis
and Systematic
Review","Psychological Therapies
for Individuals with
mental health problems
in prison settings
Note: “Cognitive
behavioral therapy,
dialectical behavior
therapy, Mindfulness-
based Therapy, and
other group treatments
such as Music Therapy
and Art Therapy
(including self-help
treatments) were
included. Studies
examining only
medication were
excluded.” (784)","1979-2015
31 studies
post-2000","RCTs including
pilot studies and
cluster
randomized
trials.
Note:
Both adult and
juvenile
populations
included",37 studies,"“CBT and mindfulness-based therapies are
modestly effective in prisoners for depression and
anxiety outcomes. In prisons with existing
psychological therapies, more evidence is required
before additional therapies can be
recommended.” (783)",,,,,,,,,,,,,,,,
"15) Dafoe &
Stermac (2013)",Mindfulness Training,Not Specified,Not Specified,Not Specified,"“Mindfulness has been shown to be effective
across a number of clinical populations found",,,,,,,,,,,,,,,,
